date,time,profile_name,tutorial_entered_at,play_entered_at,play_ended_at,total_game_time_s,score_a,score_b,a_joint1_distance_rad,a_joint2_distance_rad,a_joint3_distance_rad,a_joint4_distance_rad,a_joint5_distance_rad,a_joint6_distance_rad,b_joint1_distance_rad,b_joint2_distance_rad,b_joint3_distance_rad,b_joint4_distance_rad,b_joint5_distance_rad,b_joint6_distance_rad
2026-07-08,16-11-38,two_teams,2026-07-08T16:11:38.194244+08:00,2026-07-08T16:13:08.222947+08:00,2026-07-08T16:18:08.326155+08:00,390.132,5,0,1.856681,1.346371,1.109857,1.864879,3.522438,4.276470,0.404791,0.425152,0.406151,0.420087,0.499654,0.313871
2026-07-08,16-19-29,two_teams,2026-07-08T16:19:29.525357+08:00,2026-07-08T16:20:15.670748+08:00,2026-07-08T16:25:15.793912+08:00,346.269,21,57,5.594247,6.894600,8.534763,2.184670,10.630233,6.946810,8.965913,10.824354,12.777950,13.726002,24.202676,15.742348
2026-07-08,16-30-47,two_teams,2026-07-08T16:30:47.804899+08:00,2026-07-08T16:32:17.829899+08:00,2026-07-08T16:37:17.991348+08:00,390.186,83,22,3.208642,6.369584,6.336476,10.328759,7.382584,12.551012,5.582381,9.250278,9.145256,18.561696,21.295208,27.437099
2026-07-08,16-38-14,two_teams,2026-07-08T16:38:14.598458+08:00,2026-07-08T16:39:44.624187+08:00,2026-07-08T16:45:01.636676+08:00,407.038,76,75,4.040707,8.040409,10.062703,9.942627,18.310594,25.739549,22.132724,9.932816,8.039025,4.843032,16.808635,15.174637
2026-07-08,16-46-53,two_teams,2026-07-08T16:46:53.425427+08:00,2026-07-08T16:48:23.434959+08:00,2026-07-08T16:53:23.570648+08:00,390.145,16,9,4.030075,5.424904,4.178860,13.043820,16.287438,32.594445,4.704124,6.075896,7.120890,11.105726,7.282095,11.291645
2026-07-08,16-54-21,two_teams,2026-07-08T16:54:21.904422+08:00,2026-07-08T16:55:51.931673+08:00,2026-07-08T17:00:52.055272+08:00,390.151,66,0,7.020076,6.635491,8.566083,15.783856,13.593198,13.205499,1.674567,1.928454,0.519602,0.468441,0.512316,0.310885
2026-07-08,17-05-31,two_teams,2026-07-08T17:05:31.319610+08:00,2026-07-08T17:07:01.329834+08:00,2026-07-08T17:12:01.493283+08:00,390.174,12,73,6.499845,10.651228,11.632584,9.379348,21.604423,20.730228,6.741539,5.229209,6.369868,9.820663,10.435924,11.921287
2026-07-08,17-14-38,two_teams,2026-07-08T17:14:38.874724+08:00,2026-07-08T17:16:08.884076+08:00,2026-07-08T17:18:53.356821+08:00,254.482,0,0,4.091624,3.693882,3.070878,4.394331,10.037046,12.317078,3.679716,7.313985,5.166523,8.367414,9.785527,3.477093
2026-07-08,17-19-57,two_teams,2026-07-08T17:19:57.078290+08:00,2026-07-08T17:21:09.049887+08:00,2026-07-08T17:28:16.652824+08:00,499.575,8,65,2.714963,8.763639,11.995230,9.728857,10.673675,16.869602,5.707785,7.182641,11.566090,21.620557,11.854969,8.825690
2026-07-08,17-33-24,two_teams,2026-07-08T17:33:24.227238+08:00,2026-07-08T17:34:54.252842+08:00,2026-07-08T17:39:54.381927+08:00,390.155,9,0,1.423978,2.515275,1.457670,1.959848,0.397766,0.303422,5.505723,4.883554,3.456852,6.775983,6.094732,6.316683
